Batch_ID,SKU,Batch_Quantity,Batch_Received_Date,Expiry_Date
BATCH_00054,SKU_0242,101,2023-01-03 05:00:00,2023-09-18 05:00:00
BATCH_00055,SKU_0350,32,2023-01-03 06:00:00,2023-07-02 06:00:00
BATCH_00056,SKU_0395,92,2023-01-03 07:00:00,2023-02-28 07:00:00
BATCH_00057,SKU_0028,105,2023-01-03 08:00:00,2023-12-30 08:00:00
BATCH_00058,SKU_0371,58,2023-01-03 09:00:00,2023-06-04 09:00:00
BATCH_00059,SKU_0257,91,2023-01-03 10:00:00,2023-05-07 10:00:00
BATCH_00060,SKU_0380,141,2023-01-03 11:00:00,2023-08-06 11:00:00
BATCH_00061,SKU_0016,18,2023-01-03 12:00:00,2023-11-14 12:00:00
BATCH_00062,SKU_0219,278,2023-01-03 13:00:00,2023-06-09 13:00:00
BATCH_00063,SKU_0270,146,2023-01-03 14:00:00,2023-12-26 14:00:00
BATCH_00064,SKU_0214,221,2023-01-03 15:00:00,2023-12-27 15:00:00
BATCH_00065,SKU_0056,237,2023-01-03 16:00:00,2023-10-01 16:00:00
BATCH_00066,SKU_0120,190,2023-01-03 17:00:00,2023-10-26 17:00:00
BATCH_00067,SKU_0110,299,2023-01-03 18:00:00,2023-09-03 18:00:00
BATCH_00068,SKU_0243,89,2023-01-03 19:00:00,2023-09-22 19:00:00
BATCH_00069,SKU_0265,90,2023-01-03 20:00:00,2023-08-01 20:00:00
BATCH_00070,SKU_0013,153,2023-01-03 21:00:00,2023-10-17 21:00:00
BATCH_00071,SKU_0030,262,2023-01-03 22:00:00,2023-03-31 22:00:00
BATCH_00072,SKU_0051,248,2023-01-03 23:00:00,2023-02-27 23:00:00
BATCH_00073,SKU_0081,160,2023-01-04 00:00:00,2023-07-22 00:00:00
BATCH_00074,SKU_0066,238,2023-01-04 01:00:00,2023-12-08 01:00:00
BATCH_00075,SKU_0193,291,2023-01-04 02:00:00,2023-07-05 02:00:00
BATCH_00076,SKU_0230,68,2023-01-04 03:00:00,2023-05-27 03:00:00
BATCH_00077,SKU_0276,285,2023-01-04 04:00:00,2023-08-04 04:00:00
BATCH_00078,SKU_0146,40,2023-01-04 05:00:00,2023-12-24 05:00:00
BATCH_00079,SKU_0327,91,2023-01-04 06:00:00,2024-01-02 06:00:00
BATCH_00080,SKU_0333,277,2023-01-04 07:00:00,2023-11-02 07:00:00
BATCH_00081,SKU_0265,32,2023-01-04 08:00:00,2023-03-14 08:00:00
BATCH_00082,SKU_0352,135,2023-01-04 09:00:00,2023-03-04 09:00:00
BATCH_00083,SKU_0016,231,2023-01-04 10:00:00,2023-07-07 10:00:00
BATCH_00084,SKU_0211,197,2023-01-04 11:00:00,2023-06-23 11:00:00
BATCH_00085,SKU_0099,21,2023-01-04 12:00:00,2023-08-12 12:00:00
BATCH_00086,SKU_0282,75,2023-01-04 13:00:00,2023-08-21 13:00:00
BATCH_00087,SKU_0056,148,2023-01-04 14:00:00,2023-07-08 14:00:00
BATCH_00088,SKU_0160,73,2023-01-04 15:00:00,2023-04-27 15:00:00
BATCH_00089,SKU_0282,212,2023-01-04 16:00:00,2023-11-13 16:00:00
BATCH_00090,SKU_0041,225,2023-01-04 17:00:00,2023-05-16 17:00:00
BATCH_00091,SKU_0069,85,2023-01-04 18:00:00,2023-05-10 18:00:00
BATCH_00092,SKU_0294,226,2023-01-04 19:00:00,2023-09-13 19:00:00
BATCH_00093,SKU_0391,68,2023-01-04 20:00:00,2023-06-22 20:00:00
BATCH_00094,SKU_0174,299,2023-01-04 21:00:00,2023-12-31 21:00:00
BATCH_00095,SKU_0159,43,2023-01-04 22:00:00,2023-09-09 22:00:00
BATCH_00096,SKU_0199,12,2023-01-04 23:00:00,2023-06-02 23:00:00
BATCH_00097,SKU_0048,227,2023-01-05 00:00:00,2023-05-01 00:00:00
BATCH_00098,SKU_0383,56,2023-01-05 01:00:00,2023-03-28 01:00:00
BATCH_00099,SKU_0001,239,2023-01-05 02:00:00,2023-03-04 02:00:00
BATCH_00100,SKU_0367,24,2023-01-05 03:00:00,2023-04-30 03:00:00
BATCH_00101,SKU_0152,227,2023-01-05 04:00:00,2023-02-11 04:00:00
BATCH_00102,SKU_0132,143,2023-01-05 05:00:00,2023-11-02 05:00:00
BATCH_00103,SKU_0187,294,2023-01-05 06:00:00,2023-02-09 06:00:00
BATCH_00104,SKU_0341,211,2023-01-05 07:00:00,2023-04-19 07:00:00
BATCH_00105,SKU_0063,79,2023-01-05 08:00:00,2023-10-15 08:00:00
BATCH_00106,SKU_0138,33,2023-01-05 09:00:00,2023-06-02 09:00:00
BATCH_00107,SKU_0129,56,2023-01-05 10:00:00,2023-12-26 10:00:00
BATCH_00108,SKU_0200,231,2023-01-05 11:00:00,2023-12-16 11:00:00
BATCH_00109,SKU_0335,189,2023-01-05 12:00:00,2023-09-24 12:00:00
BATCH_00110,SKU_0336,39,2023-01-05 13:00:00,2023-06-10 13:00:00
BATCH_00111,SKU_0280,161,2023-01-05 14:00:00,2023-06-12 14:00:00
BATCH_00112,SKU_0040,110,2023-01-05 15:00:00,2023-03-23 15:00:00
BATCH_00113,SKU_0084,250,2023-01-05 16:00:00,2024-01-03 16:00:00
BATCH_00114,SKU_0311,70,2023-01-05 17:00:00,2023-04-15 17:00:00
BATCH_00115,SKU_0109,31,2023-01-05 18:00:00,2023-12-12 18:00:00
BATCH_00116,SKU_0066,205,2023-01-05 19:00:00,2023-09-05 19:00:00
BATCH_00117,SKU_0248,201,2023-01-05 20:00:00,2023-09-05 20:00:00
BATCH_00118,SKU_0018,291,2023-01-05 21:00:00,2023-05-09 21:00:00
BATCH_00119,SKU_0117,112,2023-01-05 22:00:00,2023-04-15 22:00:00
BATCH_00120,SKU_0086,44,2023-01-05 23:00:00,2023-06-24 23:00:00
BATCH_00121,SKU_0183,217,2023-01-06 00:00:00,2023-03-15 00:00:00
BATCH_00122,SKU_0225,34,2023-01-06 01:00:00,2023-06-14 01:00:00
BATCH_00123,SKU_0061,269,2023-01-06 02:00:00,2023-05-16 02:00:00
BATCH_00124,SKU_0015,276,2023-01-06 03:00:00,2023-12-25 03:00:00
BATCH_00125,SKU_0249,87,2023-01-06 04:00:00,2023-10-02 04:00:00
BATCH_00126,SKU_0088,139,2023-01-06 05:00:00,2023-09-11 05:00:00
BATCH_00127,SKU_0231,147,2023-01-06 06:00:00,2023-07-01 06:00:00
BATCH_00128,SKU_0099,157,2023-01-06 07:00:00,2023-07-12 07:00:00
BATCH_00129,SKU_0162,28,2023-01-06 08:00:00,2023-11-08 08:00:00
BATCH_00130,SKU_0276,183,2023-01-06 09:00:00,2023-07-19 09:00:00
BATCH_00131,SKU_0040,25,2023-01-06 10:00:00,2023-11-11 10:00:00
BATCH_00132,SKU_0048,148,2023-01-06 11:00:00,2023-12-21 11:00:00
BATCH_00133,SKU_0116,240,2023-01-06 12:00:00,2023-10-09 12:00:00
BATCH_00134,SKU_0117,64,2023-01-06 13:00:00,2023-12-24 13:00:00
BATCH_00135,SKU_0218,255,2023-01-06 14:00:00,2023-04-27 14:00:00
BATCH_00136,SKU_0227,236,2023-01-06 15:00:00,2023-04-30 15:00:00
BATCH_00137,SKU_0268,197,2023-01-06 16:00:00,2023-09-22 16:00:00
BATCH_00138,SKU_0365,65,2023-01-06 17:00:00,2023-07-27 17:00:00
BATCH_00139,SKU_0310,129,2023-01-06 18:00:00,2023-09-14 18:00:00
BATCH_00140,SKU_0288,103,2023-01-06 19:00:00,2023-10-03 19:00:00
BATCH_00141,SKU_0090,243,2023-01-06 20:00:00,2023-07-04 20:00:00
BATCH_00142,SKU_0282,263,2023-01-06 21:00:00,2023-02-24 21:00:00
BATCH_00143,SKU_0259,143,2023-01-06 22:00:00,2023-11-06 22:00:00
BATCH_00144,SKU_0218,16,2023-01-06 23:00:00,2023-12-17 23:00:00
BATCH_00145,SKU_0365,278,2023-01-07 00:00:00,2023-11-13 00:00:00
BATCH_00146,SKU_0324,76,2023-01-07 01:00:00,2023-04-17 01:00:00
BATCH_00147,SKU_0018,71,2023-01-07 02:00:00,2023-11-12 02:00:00
BATCH_00148,SKU_0367,65,2023-01-07 03:00:00,2023-08-14 03:00:00
BATCH_00149,SKU_0252,212,2023-01-07 04:00:00,2023-09-06 04:00:00
BATCH_00150,SKU_0206,254,2023-01-07 05:00:00,2023-04-17 05:00:00
BATCH_00151,SKU_0291,52,2023-01-07 06:00:00,2023-07-06 06:00:00
BATCH_00152,SKU_0397,124,2023-01-07 07:00:00,2023-03-01 07:00:00
BATCH_00153,SKU_0240,139,2023-01-07 08:00:00,2023-10-15 08:00:00
BATCH_00154,SKU_0036,236,2023-01-07 09:00:00,2023-08-19 09:00:00
BATCH_00155,SKU_0211,84,2023-01-07 10:00:00,2023-02-17 10:00:00
BATCH_00156,SKU_0093,12,2023-01-07 11:00:00,2023-06-29 11:00:00
BATCH_00157,SKU_0399,38,2023-01-07 12:00:00,2023-03-03 12:00:00
BATCH_00158,SKU_0353,296,2023-01-07 13:00:00,2023-06-10 13:00:00
BATCH_00159,SKU_0188,115,2023-01-07 14:00:00,2023-10-19 14:00:00
BATCH_00160,SKU_0286,233,2023-01-07 15:00:00,2023-12-30 15:00:00
BATCH_00161,SKU_0034,158,2023-01-07 16:00:00,2023-04-14 16:00:00
BATCH_00162,SKU_0200,10,2023-01-07 17:00:00,2023-06-29 17:00:00
BATCH_00163,SKU_0342,103,2023-01-07 18:00:00,2023-03-23 18:00:00
BATCH_00164,SKU_0222,197,2023-01-07 19:00:00,2023-06-03 19:00:00
BATCH_00165,SKU_0196,182,2023-01-07 20:00:00,2023-10-16 20:00:00
BATCH_00166,SKU_0252,263,2023-01-07 21:00:00,2023-11-18 21:00:00
BATCH_00167,SKU_0262,266,2023-01-07 22:00:00,2023-09-26 22:00:00
BATCH_00168,SKU_0165,184,2023-01-07 23:00:00,2023-06-11 23:00:00
BATCH_00169,SKU_0174,199,2023-01-08 00:00:00,2023-11-15 00:00:00
BATCH_00170,SKU_0086,103,2023-01-08 01:00:00,2023-12-04 01:00:00
BATCH_00171,SKU_0219,153,2023-01-08 02:00:00,2023-09-01 02:00:00
BATCH_00172,SKU_0359,284,2023-01-08 03:00:00,2023-06-01 03:00:00
BATCH_00173,SKU_0130,196,2023-01-08 04:00:00,2023-07-13 04:00:00
BATCH_00174,SKU_0156,217,2023-01-08 05:00:00,2023-11-06 05:00:00
BATCH_00175,SKU_0101,33,2023-01-08 06:00:00,2023-07-07 06:00:00
BATCH_00176,SKU_0378,279,2023-01-08 07:00:00,2023-10-15 07:00:00
BATCH_00177,SKU_0209,41,2023-01-08 08:00:00,2023-07-13 08:00:00
BATCH_00178,SKU_0337,17,2023-01-08 09:00:00,2023-03-17 09:00:00
BATCH_00179,SKU_0171,76,2023-01-08 10:00:00,2023-06-30 10:00:00
BATCH_00180,SKU_0375,50,2023-01-08 11:00:00,2023-10-09 11:00:00
BATCH_00181,SKU_0023,93,2023-01-08 12:00:00,2023-05-08 12:00:00
BATCH_00182,SKU_0394,150,2023-01-08 13:00:00,2023-03-09 13:00:00
BATCH_00183,SKU_0326,117,2023-01-08 14:00:00,2023-10-10 14:00:00
BATCH_00184,SKU_0169,181,2023-01-08 15:00:00,2023-06-17 15:00:00
BATCH_00185,SKU_0129,245,2023-01-08 16:00:00,2023-03-26 16:00:00
BATCH_00186,SKU_0315,35,2023-01-08 17:00:00,2023-07-01 17:00:00
BATCH_00187,SKU_0355,264,2023-01-08 18:00:00,2023-10-17 18:00:00
BATCH_00188,SKU_0077,35,2023-01-08 19:00:00,2023-02-28 19:00:00
BATCH_00189,SKU_0051,75,2023-01-08 20:00:00,2023-05-04 20:00:00
BATCH_00190,SKU_0242,278,2023-01-08 21:00:00,2023-03-30 21:00:00
BATCH_00191,SKU_0090,41,2023-01-08 22:00:00,2023-07-17 22:00:00
BATCH_00192,SKU_0211,128,2023-01-08 23:00:00,2023-08-17 23:00:00
BATCH_00193,SKU_0323,267,2023-01-09 00:00:00,2023-05-11 00:00:00
BATCH_00194,SKU_0211,110,2023-01-09 01:00:00,2023-10-26 01:00:00
BATCH_00195,SKU_0131,155,2023-01-09 02:00:00,2023-10-30 02:00:00
BATCH_00196,SKU_0127,212,2023-01-09 03:00:00,2023-12-01 03:00:00
BATCH_00197,SKU_0262,172,2023-01-09 04:00:00,2023-11-01 04:00:00
BATCH_00198,SKU_0019,260,2023-01-09 05:00:00,2023-10-21 05:00:00
BATCH_00199,SKU_0386,88,2023-01-09 06:00:00,2023-04-28 06:00:00
BATCH_00200,SKU_0234,268,2023-01-09 07:00:00,2023-03-26 07:00:00
BATCH_00201,SKU_0071,260,2023-01-09 08:00:00,2023-12-28 08:00:00
BATCH_00202,SKU_0138,180,2023-01-09 09:00:00,2023-11-23 09:00:00
BATCH_00203,SKU_0065,162,2023-01-09 10:00:00,2023-04-12 10:00:00
BATCH_00204,SKU_0092,125,2023-01-09 11:00:00,2023-08-09 11:00:00
BATCH_00205,SKU_0230,158,2023-01-09 12:00:00,2023-05-02 12:00:00
BATCH_00206,SKU_0278,107,2023-01-09 13:00:00,2023-06-05 13:00:00
BATCH_00207,SKU_0260,288,2023-01-09 14:00:00,2023-05-28 14:00:00
BATCH_00208,SKU_0030,239,2023-01-09 15:00:00,2023-08-17 15:00:00
BATCH_00209,SKU_0333,292,2023-01-09 16:00:00,2023-02-22 16:00:00
BATCH_00210,SKU_0147,130,2023-01-09 17:00:00,2023-10-13 17:00:00
BATCH_00211,SKU_0194,218,2023-01-09 18:00:00,2023-09-21 18:00:00
BATCH_00212,SKU_0278,90,2023-01-09 19:00:00,2023-12-30 19:00:00
BATCH_00213,SKU_0117,41,2023-01-09 20:00:00,2023-12-26 20:00:00
BATCH_00214,SKU_0141,253,2023-01-09 21:00:00,2023-04-16 21:00:00
BATCH_00215,SKU_0033,100,2023-01-09 22:00:00,2024-01-06 22:00:00
BATCH_00216,SKU_0008,207,2023-01-09 23:00:00,2023-09-15 23:00:00
BATCH_00217,SKU_0126,242,2023-01-10 00:00:00,2023-06-27 00:00:00
BATCH_00218,SKU_0053,175,2023-01-10 01:00:00,2023-11-03 01:00:00
BATCH_00219,SKU_0250,298,2023-01-10 02:00:00,2023-07-15 02:00:00
BATCH_00220,SKU_0087,164,2023-01-10 03:00:00,2023-02-22 03:00:00
BATCH_00221,SKU_0175,107,2023-01-10 04:00:00,2023-12-09 04:00:00
BATCH_00222,SKU_0276,261,2023-01-10 05:00:00,2023-11-19 05:00:00
BATCH_00223,SKU_0099,276,2023-01-10 06:00:00,2023-11-27 06:00:00
BATCH_00224,SKU_0172,69,2023-01-10 07:00:00,2023-05-24 07:00:00
BATCH_00225,SKU_0262,20,2023-01-10 08:00:00,2023-08-08 08:00:00
BATCH_00226,SKU_0269,148,2023-01-10 09:00:00,2023-09-30 09:00:00
BATCH_00227,SKU_0256,217,2023-01-10 10:00:00,2023-08-06 10:00:00
BATCH_00228,SKU_0130,236,2023-01-10 11:00:00,2023-02-20 11:00:00
BATCH_00229,SKU_0334,56,2023-01-10 12:00:00,2023-11-21 12:00:00
BATCH_00230,SKU_0214,185,2023-01-10 13:00:00,2023-09-30 13:00:00
BATCH_00231,SKU_0371,65,2023-01-10 14:00:00,2023-11-06 14:00:00
BATCH_00232,SKU_0118,122,2023-01-10 15:00:00,2023-07-07 15:00:00
BATCH_00233,SKU_0048,252,2023-01-10 16:00:00,2023-09-20 16:00:00
BATCH_00234,SKU_0318,293,2023-01-10 17:00:00,2023-11-29 17:00:00
BATCH_00235,SKU_0268,210,2023-01-10 18:00:00,2023-04-26 18:00:00
BATCH_00236,SKU_0342,282,2023-01-10 19:00:00,2023-10-30 19:00:00
BATCH_00237,SKU_0047,47,2023-01-10 20:00:00,2023-02-09 20:00:00
BATCH_00238,SKU_0270,217,2023-01-10 21:00:00,2023-10-21 21:00:00
BATCH_00239,SKU_0319,181,2023-01-10 22:00:00,2023-08-22 22:00:00
BATCH_00240,SKU_0321,278,2023-01-10 23:00:00,2023-04-24 23:00:00
BATCH_00241,SKU_0118,229,2023-01-11 00:00:00,2023-06-09 00:00:00
BATCH_00242,SKU_0247,234,2023-01-11 01:00:00,2023-09-18 01:00:00
BATCH_00243,SKU_0270,124,2023-01-11 02:00:00,2023-11-11 02:00:00
BATCH_00244,SKU_0244,31,2023-01-11 03:00:00,2023-09-20 03:00:00
BATCH_00245,SKU_0088,57,2023-01-11 04:00:00,2023-08-14 04:00:00
BATCH_00246,SKU_0356,79,2023-01-11 05:00:00,2023-11-08 05:00:00
BATCH_00247,SKU_0101,284,2023-01-11 06:00:00,2023-06-25 06:00:00
BATCH_00248,SKU_0042,265,2023-01-11 07:00:00,2023-04-12 07:00:00
BATCH_00249,SKU_0318,90,2023-01-11 08:00:00,2023-11-11 08:00:00
BATCH_00250,SKU_0183,66,2023-01-11 09:00:00,2023-06-09 09:00:00
BATCH_00251,SKU_0140,130,2023-01-11 10:00:00,2023-07-29 10:00:00
BATCH_00252,SKU_0149,121,2023-01-11 11:00:00,2023-11-30 11:00:00
BATCH_00253,SKU_0296,98,2023-01-11 12:00:00,2023-08-08 12:00:00
BATCH_00254,SKU_0158,299,2023-01-11 13:00:00,2023-07-30 13:00:00
BATCH_00255,SKU_0280,195,2023-01-11 14:00:00,2023-08-29 14:00:00
BATCH_00256,SKU_0292,128,2023-01-11 15:00:00,2023-11-26 15:00:00
BATCH_00257,SKU_0295,283,2023-01-11 16:00:00,2023-11-21 16:00:00
BATCH_00258,SKU_0205,161,2023-01-11 17:00:00,2023-06-25 17:00:00
BATCH_00259,SKU_0374,160,2023-01-11 18:00:00,2023-12-01 18:00:00
BATCH_00260,SKU_0123,57,2023-01-11 19:00:00,2023-02-25 19:00:00
BATCH_00261,SKU_0362,65,2023-01-11 20:00:00,2023-11-26 20:00:00
BATCH_00262,SKU_0201,289,2023-01-11 21:00:00,2023-10-23 21:00:00
BATCH_00263,SKU_0230,282,2023-01-11 22:00:00,2023-04-11 22:00:00
BATCH_00264,SKU_0169,77,2023-01-11 23:00:00,2023-03-29 23:00:00
BATCH_00265,SKU_0189,32,2023-01-12 00:00:00,2023-09-17 00:00:00
BATCH_00266,SKU_0357,228,2023-01-12 01:00:00,2023-02-11 01:00:00
BATCH_00267,SKU_0276,59,2023-01-12 02:00:00,2023-07-02 02:00:00
BATCH_00268,SKU_0075,62,2023-01-12 03:00:00,2023-06-12 03:00:00
BATCH_00269,SKU_0372,49,2023-01-12 04:00:00,2023-11-14 04:00:00
BATCH_00270,SKU_0338,103,2023-01-12 05:00:00,2023-09-05 05:00:00
BATCH_00271,SKU_0291,241,2023-01-12 06:00:00,2023-09-16 06:00:00
BATCH_00272,SKU_0080,244,2023-01-12 07:00:00,2023-11-02 07:00:00
BATCH_00273,SKU_0229,149,2023-01-12 08:00:00,2023-06-12 08:00:00
BATCH_00274,SKU_0132,181,2023-01-12 09:00:00,2023-04-05 09:00:00
BATCH_00275,SKU_0234,26,2023-01-12 10:00:00,2023-09-24 10:00:00
BATCH_00276,SKU_0389,225,2023-01-12 11:00:00,2023-09-17 11:00:00
BATCH_00277,SKU_0050,77,2023-01-12 12:00:00,2023-12-12 12:00:00
BATCH_00278,SKU_0314,171,2023-01-12 13:00:00,2023-08-03 13:00:00
BATCH_00279,SKU_0380,97,2023-01-12 14:00:00,2023-11-17 14:00:00
BATCH_00280,SKU_0219,143,2023-01-12 15:00:00,2023-06-03 15:00:00
BATCH_00281,SKU_0176,154,2023-01-12 16:00:00,2023-11-26 16:00:00
BATCH_00282,SKU_0205,126,2023-01-12 17:00:00,2023-12-17 17:00:00
BATCH_00283,SKU_0210,36,2023-01-12 18:00:00,2023-12-02 18:00:00
BATCH_00284,SKU_0089,28,2023-01-12 19:00:00,2023-02-19 19:00:00
BATCH_00285,SKU_0230,33,2023-01-12 20:00:00,2023-03-18 20:00:00
BATCH_00286,SKU_0243,161,2023-01-12 21:00:00,2023-02-22 21:00:00
BATCH_00287,SKU_0194,39,2023-01-12 22:00:00,2023-11-18 22:00:00
BATCH_00288,SKU_0247,73,2023-01-12 23:00:00,2023-05-02 23:00:00
BATCH_00289,SKU_0314,118,2023-01-13 00:00:00,2023-05-03 00:00:00
BATCH_00290,SKU_0007,206,2023-01-13 01:00:00,2023-06-04 01:00:00
BATCH_00291,SKU_0220,227,2023-01-13 02:00:00,2023-08-27 02:00:00
BATCH_00292,SKU_0185,242,2023-01-13 03:00:00,2023-06-13 03:00:00
BATCH_00293,SKU_0394,108,2023-01-13 04:00:00,2023-10-22 04:00:00
BATCH_00294,SKU_0010,116,2023-01-13 05:00:00,2023-05-29 05:00:00
BATCH_00295,SKU_0049,80,2023-01-13 06:00:00,2023-12-30 06:00:00
BATCH_00296,SKU_0025,63,2023-01-13 07:00:00,2023-06-30 07:00:00
BATCH_00297,SKU_0136,97,2023-01-13 08:00:00,2023-04-13 08:00:00
BATCH_00298,SKU_0225,60,2023-01-13 09:00:00,2023-08-20 09:00:00
BATCH_00299,SKU_0355,53,2023-01-13 10:00:00,2023-08-20 10:00:00
BATCH_00300,SKU_0119,279,2023-01-13 11:00:00,2023-09-26 11:00:00
BATCH_00301,SKU_0336,197,2023-01-13 12:00:00,2023-02-22 12:00:00
BATCH_00302,SKU_0294,94,2023-01-13 13:00:00,2023-09-05 13:00:00
BATCH_00303,SKU_0236,79,2023-01-13 14:00:00,2023-06-09 14:00:00
BATCH_00304,SKU_0119,238,2023-01-13 15:00:00,2023-07-11 15:00:00
BATCH_00305,SKU_0247,205,2023-01-13 16:00:00,2023-09-08 16:00:00
BATCH_00306,SKU_0162,262,2023-01-13 17:00:00,2023-06-18 17:00:00
BATCH_00307,SKU_0357,125,2023-01-13 18:00:00,2023-05-08 18:00:00
BATCH_00308,SKU_0320,228,2023-01-13 19:00:00,2023-12-27 19:00:00
BATCH_00309,SKU_0167,273,2023-01-13 20:00:00,2023-08-05 20:00:00
BATCH_00310,SKU_0233,292,2023-01-13 21:00:00,2023-03-23 21:00:00
BATCH_00311,SKU_0349,61,2023-01-13 22:00:00,2023-09-08 22:00:00
BATCH_00312,SKU_0177,199,2023-01-13 23:00:00,2023-05-06 23:00:00
BATCH_00313,SKU_0281,142,2023-01-14 00:00:00,2023-07-14 00:00:00
BATCH_00314,SKU_0080,127,2023-01-14 01:00:00,2023-08-05 01:00:00
BATCH_00315,SKU_0323,245,2023-01-14 02:00:00,2023-03-18 02:00:00
BATCH_00316,SKU_0139,151,2023-01-14 03:00:00,2023-09-27 03:00:00
BATCH_00317,SKU_0094,37,2023-01-14 04:00:00,2023-06-21 04:00:00
BATCH_00318,SKU_0283,221,2023-01-14 05:00:00,2023-06-01 05:00:00
BATCH_00319,SKU_0166,297,2023-01-14 06:00:00,2023-09-07 06:00:00
BATCH_00320,SKU_0155,172,2023-01-14 07:00:00,2023-05-28 07:00:00
BATCH_00321,SKU_0349,56,2023-01-14 08:00:00,2023-07-25 08:00:00
BATCH_00322,SKU_0228,130,2023-01-14 09:00:00,2023-12-18 09:00:00
BATCH_00323,SKU_0192,155,2023-01-14 10:00:00,2023-08-31 10:00:00
